               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12816,            0.024696,            0.076078,            0.003053,            0.022677,           0.0016939,          0.00035939,             0.12765,             0.04698,            0.075317,              0.0919,              0.0009,              0.0009
                   1,             0.11913,            0.027653,            0.062337,            0.051121,            0.064315,            0.011445,           0.0027428,             0.11402,            0.059748,            0.056422,            0.082881,           0.0018812,           0.0018812
                   2,             0.10819,             0.03285,            0.045807,             0.52791,            0.024896,            0.013303,           0.0030893,             0.10499,            0.074577,            0.049038,            0.073843,           0.0028426,           0.0028426
                   3,             0.10124,            0.033927,            0.035124,             0.60523,             0.14523,            0.056785,            0.018142,             0.10228,            0.072319,            0.042972,            0.064784,           0.0037842,           0.0037842
                   4,            0.094016,            0.033616,             0.02916,             0.62287,             0.16598,            0.096933,            0.022406,             0.09715,            0.069379,            0.040004,            0.055706,            0.004706,            0.004706
                   5,            0.090655,            0.031426,            0.022165,             0.72515,             0.14938,             0.16433,            0.045014,             0.10066,            0.077491,            0.035465,            0.046608,           0.0056079,           0.0056079
                   6,            0.089935,            0.029927,            0.019947,             0.19857,             0.31652,             0.17057,            0.040237,             0.10983,            0.067399,            0.023104,             0.03749,           0.0064901,           0.0064901
                   7,            0.088157,            0.029212,            0.017944,             0.19454,             0.35762,             0.18403,            0.047263,            0.094559,            0.067056,             0.01711,            0.028353,           0.0073525,           0.0073525
                   8,            0.084634,            0.029335,            0.015392,             0.22625,             0.35854,             0.17587,             0.04473,             0.10169,            0.058051,            0.011712,            0.019195,           0.0081951,           0.0081951
                   9,            0.084626,            0.027632,            0.012396,             0.19794,             0.47891,             0.17246,            0.046929,            0.090865,            0.057601,           0.0092619,            0.010018,           0.0090179,           0.0090179
                  10,            0.084629,            0.027829,            0.011386,             0.32813,             0.41115,             0.32127,            0.084142,            0.088971,            0.056478,           0.0076825,             0.00901,             0.00901,             0.00901
                  11,            0.077635,            0.026733,            0.010649,             0.20783,             0.39058,             0.16853,            0.044577,            0.093231,            0.052411,           0.0073583,             0.00901,             0.00901,             0.00901
                  12,            0.079624,             0.02562,            0.010063,             0.34253,               0.451,              0.3002,             0.08712,            0.077016,            0.056589,           0.0071085,            0.008911,            0.008911,            0.008911
                  13,            0.072965,            0.029495,           0.0092023,              0.3304,             0.41537,              0.2648,            0.075979,            0.079136,             0.06071,           0.0071968,            0.008812,            0.008812,            0.008812
